,Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
2022-01-07,2022-01-07,360.1233215332031,360.30999755859375,336.6666564941406,342.32000732421875,342.32000732421875,84164700,0.08850962962962965,364.5842851911272,343.6106643676758,-9.589286426028423,26.509299335957845,396.6292630395915,290.5920656957601,348.1585302503086,5.832820475126894
2022-01-10,2022-01-10,333.3333435058594,353.0333251953125,326.6666564941406,352.7066650390625,352.7066650390625,91815000,0.18718466666666664,364.00238037109375,344.29549713134764,-5.199441656149816,26.561059111678404,397.4176153547045,291.1733789079908,351.19062010947783,5.862797490221788
2022-01-11,2022-01-11,351.22332763671875,358.6166687011719,346.2733459472656,354.79998779296875,354.79998779296875,66063300,0.1962321100917431,364.365234375,345.9286636352539,-4.076704106539239,26.127514096840574,398.183691828935,293.67363544157274,353.5968652318051,5.868731747223052
2022-01-12,2022-01-12,359.6166687011719,371.61334228515625,357.5299987792969,368.739990234375,368.739990234375,83739000,0.15963061224489794,359.90999494280135,348.3904968261719,-3.3647668133453976,25.82444637975365,400.0393895856792,296.7416040666646,363.69228190018504,5.907376140169909
2022-01-13,2022-01-13,369.6900024414063,371.8666687011719,342.17999267578125,343.85333251953125,343.85333251953125,97209900,0.10902179487179489,354.2895202636719,349.31666412353513,-6.064037875708266,25.280303957112007,399.87727203775916,298.7560562093111,350.4663156464158,5.837302753734268
2022-01-14,2022-01-14,339.9599914550781,350.6666564941406,337.7933349609375,349.8699951171875,349.8699951171875,72924300,0.21625889570552143,352.4557102748326,351.3614974975586,-3.3832876949792876,23.43173298268502,398.22496346292866,304.4980315321886,350.06876862693025,5.854699345976981
2022-01-18,2022-01-18,342.2033386230469,356.92999267578125,338.6866760253906,343.5033264160156,343.5033264160156,66743400,0.14251212121212117,350.8276149204799,352.993830871582,-1.9496001736978315,21.520730228510615,396.03529132860325,309.9523704145608,345.69180715298717,5.836281369818667
2022-01-19,2022-01-19,347.2366638183594,351.5566711425781,331.6666564941406,331.8833312988281,331.8833312988281,75442500,0.1021326732673267,349.336661202567,354.58899688720703,-2.4267308007821953,18.330290954183315,391.24957879557365,317.9284149788404,336.4861565835478,5.8017658398262695
2022-01-20,2022-01-20,336.57666015625,347.2200012207031,331.3333435058594,332.0899963378906,332.0899963378906,70488600,0.1835576923076923,346.3914228166853,355.55133056640625,-1.2925585509916004,16.43003308691812,388.4113967402425,322.69126439257,333.55538308644304,5.802390230680549
2022-01-21,2022-01-21,332.11334228515625,334.8500061035156,313.5,314.6333312988281,314.6333312988281,103416000,0.07024716981132081,340.653329031808,354.46849670410154,-1.049786287587267,18.365882717815303,391.20026213973216,317.7367312684709,320.94068189469976,5.74822456885772
2022-01-24,2022-01-24,301.586669921875,311.1700134277344,283.8233337402344,310.0,310.0,151565700,0.08097560975609756,332.26190185546875,352.1851638793945,3.305590048253862,20.876260439172384,393.93768475773925,310.43264300104977,313.6468939648999,5.733341276897746
2022-01-25,2022-01-25,304.7333374023437,317.086669921875,301.07000732421875,306.1333312988281,306.1333312988281,86595900,0.14120382165605097,326.87333025251115,349.2594970703125,6.004981711992855,23.027258944029764,395.314014958372,303.20497918225294,308.6378521875187,5.720748832883838
2022-01-26,2022-01-26,317.4766540527344,329.2300109863281,302.0,312.4700012207031,312.4700012207031,104867400,0.16615382165605092,321.5304739815848,346.74183044433596,6.577078350642012,24.189552844914772,395.1209361341655,298.3627247545064,311.1926182096417,5.741303029322548
2022-01-27,2022-01-27,311.1199951171875,311.7966613769531,276.3333435058594,276.3666687011719,276.3666687011719,147109500,0.08305057034220528,311.9395228794643,342.4569976806641,5.192372686462988,28.53278286280827,399.5225634062806,285.39143195504755,287.9753185373285,5.6181035502887
2022-01-28,2022-01-28,277.1866760253906,285.8333435058594,264.0033264160156,282.1166687011719,282.1166687011719,134789100,0.1617058823529412,304.8299996512277,338.7238311767578,9.299283184813476,31.309449185754307,401.34272954826645,276.1049328052492,284.0695519798908,5.6387697742731415
2022-01-31,2022-01-31,290.9033203125,312.663330078125,287.3500061035156,312.239990234375,312.239990234375,104436000,0.14873511450381677,301.9942844935826,336.7228302001953,12.591416136404632,31.67552280970853,400.07387581961234,273.37178458077824,302.8498441495469,5.7405642873722185
2022-02-01,2022-02-01,311.7366638183594,314.5666809082031,301.6666564941406,310.4166564941406,310.4166564941406,73138200,0.1495763157894736,301.3919023786272,332.24732971191406,11.929990221192952,28.432860853610652,389.1130514191354,275.38160800469274,307.8943857126094,5.734688771512615
2022-02-02,2022-02-02,309.3933410644531,310.5,296.4700012207031,301.8866577148437,301.8866577148437,66792900,0.13731354166666662,300.2328534807478,328.18182983398435,10.988638964365919,26.512653179671712,381.20713619332776,275.15652347464095,303.8892337140989,5.706733641392822
2022-02-03,2022-02-03,294.0,312.3333435058594,293.50665283203125,297.0466613769531,297.0466613769531,78855600,0.127096,298.9347577776228,324.8988296508789,12.04959134788038,26.074152818401828,377.0471352876825,272.75052401407527,299.3275188226684,5.690517081687219
